"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/23/2020","28","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","28","6","16","24"
"11/24/2020","28","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","28",".",".","25"
"11/25/2020","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","24",".","35","28"
"11/26/2020","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","33",".","31","21"
"11/27/2020","28","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","22",".","27","28"
"11/28/2020","27","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","27",".","23","18"
"11/29/2020","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","30","10","33","33"
"11/30/2020","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","9","34",".","40","25"
"12/01/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","26","25"
"12/02/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","23","14"
"12/03/2020","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","32","25"
"12/04/2020","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","31","26"
"12/05/2020","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","26","5","28","14"
"12/06/2020","30","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","30",".","8","5"
"12/07/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","20","14"
"12/08/2020","26","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","26",".","24","9"
"12/09/2020","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","26",".","38","23"
"12/10/2020","31","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","26",".","31","30"
"12/11/2020","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","28","20","58","29"
"12/12/2020","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","19",".","59","26"
"12/13/2020","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","28",".","33","18"
"12/14/2020","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","25",".","28","23"
"12/15/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","26","8"
"12/16/2020","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","28",".","32","20"
"12/17/2020","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","35","5","29","8"
"12/18/2020","37","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","33",".",".","37"
"12/19/2020","38","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","29",".",".","38"
"12/20/2020","30","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","6","24",".",".","30"
"12/21/2020","25","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","7","23",".",".","25"
"12/22/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","31",".","52","27"
"12/23/2020","48","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","31",".","48","37"
"12/24/2020","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","13","34",".","53","42"
"12/25/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","38",".","20","14"
"12/26/2020","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","24",".","33","6"
"12/27/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","27",".","52","26"
"12/28/2020","59","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","6","30",".","59","29"
"12/29/2020","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","32","13","24","7"
"12/30/2020","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","31",".","36","24"
"12/31/2020","33","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","30",".","33","24"
