"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/29/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","71","18","37.4","05/29/2008","05/29/2014"
"05/30/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","74","21","40.8","05/30/2012","05/30/2017"
"05/31/2020","29","Ozone","PISECO LAKE","36-041-0005","AQS","100","20","36.4","05/31/2007","05/31/2014"
"06/01/2020","37","Ozone","PISECO LAKE","36-041-0005","AQS","108","21","41.4","06/01/2007","06/01/2014"
"06/02/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","100","22","33","06/02/2007","06/02/2015"
"06/03/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","71","13","35.4","06/03/2005","06/03/2014"
"06/04/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","58","25","35","06/04/2005","06/04/2014"
"06/05/2020","50","Ozone","PISECO LAKE","36-041-0005","AQS","58","24","32.2","06/05/2002","06/05/2018"
"06/06/2020",".","","","","","90","18","34.4","06/06/2009","06/06/2014"
"06/07/2020","27","Ozone","PISECO LAKE","36-041-0005","AQS","80","31","37.4","06/07/2011","06/07/2009"
"06/08/2020","25","Ozone","PISECO LAKE","36-041-0005","AQS","140","21","34.6","06/08/2004","06/08/2016"
"06/09/2020","51","Ozone","PISECO LAKE","36-041-0005","AQS","101","30","43","06/09/2005","06/09/2006"
"06/10/2020","42","Ozone","PISECO LAKE","36-041-0005","AQS","185","18","48","06/10/2000","06/10/2002"
"06/11/2020","33","Ozone","PISECO LAKE","36-041-0005","AQS","87","18","47.4","06/11/2017","06/11/2006"
"06/12/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","87","14","48","06/12/2017","06/12/2000"
"06/13/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","87","20","36","06/13/2004","06/13/2010"
"06/14/2020","19","Ozone","PISECO LAKE","36-041-0005","AQS","64","24","33.6","06/14/2001","06/14/2003"
"06/15/2020","31","Ozone","PISECO LAKE","36-041-0005","AQS","112","27","34.8","06/15/2001","06/15/2014"
"06/16/2020","35","Ozone","PISECO LAKE","36-041-0005","AQS","50","26","32.6","06/16/2012","06/16/2017"
"06/17/2020","44","Ozone","PISECO LAKE","36-041-0005","AQS","77","19","33.2","06/17/2007","06/17/2005"
"06/18/2020","47","Ozone","PISECO LAKE","36-041-0005","AQS","105","24","35","06/18/2006","06/18/2005"
"06/19/2020","40","Ozone","PISECO LAKE","36-041-0005","AQS","108","26","38.4","06/19/2001","06/19/2009"
"06/20/2020","39","Ozone","PISECO LAKE","36-041-0005","AQS","105","27","41.2","06/20/2012","06/20/2003"
"06/21/2020","41","Ozone","PISECO LAKE","36-041-0005","AQS","122","20","35.6","06/21/2012","06/21/2003"
