"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"04/15/2021","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","122","41","50.8","04/15/2003","04/15/2011"
"04/16/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","129","37","47","04/16/2003","04/16/2000"
"04/17/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","105","34","42.4","04/17/2002","04/17/2000"
"04/18/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","101","31","46.6","04/18/2008","04/18/2010"
"04/19/2021","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","133","32","40.6","04/19/2008","04/19/2013"
"04/20/2021","54","Ozone","UXBRIDGE","25-027-0024","AQS","161","37","39","04/20/2005","04/20/2015"
"04/21/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","37","49.6","04/21/2001","04/21/2017"
"04/22/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","26","50.8","04/22/2008","04/22/2012"
"04/23/2021","48","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","151","28","41.2","04/23/2007","04/23/2019"
"04/24/2021","71","Ozone","UXBRIDGE","25-027-0024","AQS","74","28","46.8","04/24/2007","04/24/2015"
"04/25/2021","54","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","108","31","38.6","04/25/2009","04/25/2017"
"04/26/2021","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","30","36","04/26/2005","04/26/2017"
"04/27/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","112","31","38.4","04/27/2009","04/27/2014"
"04/28/2021","54","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","151","33","50.2","04/28/2009","04/28/2011"
"04/29/2021","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","112","31","46","04/29/2003","04/29/2001"
"04/30/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","108","32","38","04/30/2004","04/30/2018"
"05/01/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","29","39","05/01/2010","05/01/2017"
"05/02/2021","48","Ozone","UXBRIDGE","25-027-0024","AQS","129","31","55.8","05/02/2018","05/02/2016"
"05/03/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","87","25","44","05/03/2001","05/03/2016"
"05/04/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","95","17","52.8","05/04/2001","05/04/2006"
"05/05/2021","29","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","100","29","37.8","05/05/2002","05/05/2016"
"05/06/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","126","15","43.6","05/06/2002","05/06/2006"
"05/07/2021","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","105","3","44.8","05/07/2000","05/07/2006"
"05/08/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","84","31","45.8","05/08/2007","05/08/2003"
"05/09/2021","39","Ozone","UXBRIDGE","25-027-0024","AQS","119","31","46","05/09/2007","05/09/2002"
"05/10/2021","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","92","31","41.4","05/10/2001","05/10/2002"
"05/11/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","90","24","42.6","05/11/2005","05/11/2002"
"05/12/2021","35","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","29","43.6","05/12/2014","05/12/2017"
"05/13/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","100","22","38.8","05/13/2012","05/13/2002"
"05/14/2021","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","67","24","40.6","05/14/2004","05/14/2001"
"05/15/2021","48","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","126","14","39.8","05/15/2007","05/15/2002"
"05/16/2021","51","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","67","22","42.4","05/16/2007","05/16/2004"
"05/17/2021","50","Ozone","UXBRIDGE","25-027-0024","AQS","143","20","67.4","05/17/2017","05/17/2011"
"05/18/2021","71","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","122","15","57.6","05/18/2017","05/18/2002"
"05/19/2021","47","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","64","23","41.8","05/19/2012","05/19/2011"
"05/20/2021","50","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","108","20","38.2","05/20/2009","05/20/2002"
"05/21/2021","58","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","133","10","43.8","05/21/2009","05/21/2002"
"05/22/2021","67","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","140","22","41.8","05/22/2009","05/22/2000"
"05/23/2021","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","97","28","40.8","05/23/2007","05/23/2014"
"05/24/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","119","25","44","05/24/2007","05/24/2013"
"05/25/2021","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","159","16","80.2","05/25/2007","05/25/2002"
