"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"02/08/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","53","24","39.8","02/08/2015","02/08/2008"
"02/09/2021","40","PM2.5","DUNKIRK","36-013-0006","AQS","61","28","33.4","02/09/2009","02/09/2002"
"02/10/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","63","19","39.2","02/10/2014","02/10/2000"
"02/11/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","56","28","37.2","02/11/2011","02/11/2017"
"02/12/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","57","29","40","02/12/2004","02/12/2001"
"02/13/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","55","23","38.2","02/13/2014","02/13/2001"
"02/14/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","45","25","33.6","02/14/2011","02/14/2001"
"02/15/2021","39","PM2.5","DUNKIRK","36-013-0006","AQS","50","22","36.2","02/15/2016","02/15/2018"
"02/16/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","52","28","34","02/16/2006","02/16/2012"
"02/17/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","71","32","34.8","02/17/2011","02/17/2012"
"02/18/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","61","31","39.4","02/18/2004","02/18/2009"
"02/19/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","53","26","36.2","02/19/2014","02/19/2003"
"02/20/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","43","29","34.8","02/20/2010","02/20/2013"
"02/21/2021","60","PM2.5","DUNKIRK","36-013-0006","AQS","48","18","34.2","02/21/2010","02/21/2013"
"02/22/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","62","17","36.6","02/22/2006","02/22/2013"
"02/23/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","49","21","32.6","02/23/2019","02/23/2018"
"02/24/2021","58","Ozone","DUNKIRK","36-013-0006","AQS","62","21","33.6","02/24/2000","02/24/2013"
"02/25/2021",".","","","","","47","19","36.6","02/25/2002","02/25/2013"
"02/26/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","43","31","35.8","02/26/2011","02/26/2000"
"02/27/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","54","30","36.4","02/27/2000","02/27/2003"
"02/28/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","58","32","40.2","02/28/2000","02/28/2007"
"03/01/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","77","29","44","03/01/2003","03/01/2001"
"03/02/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","56","30","42.2","03/02/2001","03/02/2012"
"03/03/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","71","23","41.2","03/03/2008","03/03/2004"
"03/04/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","66","31","41.6","03/04/2004","03/04/2000"
"03/05/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","55","28","38.8","03/05/2005","03/05/2002"
"03/06/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","53","32","40.4","03/06/2002","03/06/2004"
"03/07/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","67","29","43.2","03/07/2010","03/07/2009"
"03/08/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","87","30","57.25","03/08/2000","03/08/2006"
"03/09/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","133","36","58.5","03/09/2010","03/09/2009"
"03/10/2021","67","Ozone","DUNKIRK","36-013-0006","AQS","84","25","42","03/10/2010","03/10/2016"
"03/11/2021","53","PM2.5","DUNKIRK","36-013-0006","AQS","90","25","40.6","03/11/2010","03/11/2016"
"03/12/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","51","29","41","03/12/2008","03/12/2006"
"03/13/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","77","32","38.6","03/13/2007","03/13/2016"
"03/14/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","48","31","37.4","03/14/2014","03/14/2000"
"03/15/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","84","27","39.4","03/15/2005","03/15/2016"
"03/16/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","119","32","43.4","03/16/2003","03/16/2002"
"03/17/2021","52","PM2.5","DUNKIRK","36-013-0006","AQS","71","35","42.2","03/17/2003","03/17/2001"
"03/18/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","64","34","40.4","03/18/2005","03/18/2016"
"03/19/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","59","33","43.8","03/19/2003","03/19/2014"
"03/20/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","67","31","45.8","03/20/2005","03/20/2007"
"03/21/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","45","18","40.75","03/21/2012","03/21/2014"
"03/22/2021","61","Ozone","DUNKIRK","36-013-0006","AQS","58","34","39.25","03/22/2007","03/22/2000"
"03/23/2021","49","Ozone","DUNKIRK","36-013-0006","AQS","49","28","36.6","03/23/2008","03/23/2017"
"03/24/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","50","21","39.25","03/24/2003","03/24/2014"
"03/25/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","56","34","44.75","03/25/2004","03/25/2012"
"03/26/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","50","28","37.4","03/26/2007","03/26/2017"
"03/27/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","51","30","42.25","03/27/2003","03/27/2014"
"03/28/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","71","30","38.75","03/28/2003","03/28/2018"
"03/29/2021","39","Ozone","DUNKIRK","36-013-0006","AQS","61","24","36.2","03/29/2001","03/29/2018"
"03/30/2021","50","Ozone","DUNKIRK","36-013-0006","AQS","74","32","38.75","03/30/2006","03/30/2001"
"03/31/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","58","33","39.2","03/31/2006","03/31/2017"
"04/01/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","115","31","41.2","04/01/2010","04/01/2004"
"04/02/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","108","25","43.2","04/02/2010","04/02/2003"
"04/03/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","108","31","38.8","04/03/2010","04/03/2015"
"04/04/2021","52","PM2.5","DUNKIRK","36-013-0006","AQS","48","34","40.4","04/04/2010","04/04/2003"
"04/05/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","67","32","41.2","04/05/2010","04/05/2007"
"04/06/2021","50","Ozone","DUNKIRK","36-013-0006","AQS","64","32","44.8","04/06/2014","04/06/2007"
"04/07/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","62","31","42.6","04/07/2001","04/07/2007"
"04/08/2021","87","Ozone","DUNKIRK","36-013-0006","AQS","122","22","41","04/08/2001","04/08/2003"
"04/09/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","67","26","43.2","04/09/2017","04/09/2015"
"04/10/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","80","31","46.2","04/10/2005","04/10/2013"
"04/11/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","61","32","43.2","04/11/2006","04/11/2001"
"04/12/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","67","34","45.2","04/12/2001","04/12/2013"
"04/13/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","87","30","40.4","04/13/2006","04/13/2018"
