"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"03/26/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","63","21","43.6","03/26/2014","03/26/2012"
"03/27/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","58","22","42.8","03/27/2014","03/27/2011"
"03/28/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","11","40.2","03/28/2014","03/28/2007"
"03/29/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","58","16","43.4","03/29/2013","03/29/2010"
"03/30/2021","46","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","12","39.8","03/30/2013","03/30/2014"
"03/31/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","68","17","37.4","03/31/2008","03/31/2003"
"04/01/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","57","19","44.6","04/01/2001","04/01/2013"
"04/02/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","7","45.8","04/02/2015","04/02/2008"
"04/03/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","65","21","40.4","04/03/2000","04/03/2007"
"04/04/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","56","11","36.2","04/04/2001","04/04/2009"
"04/05/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","61","10","37.8","04/05/2013","04/05/2009"
"04/06/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","44","15","38.6","04/06/2018","04/06/2004"
"04/07/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","10","42.4","04/07/2005","04/07/2008"
"04/08/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","55","8","40.2","04/08/2011","04/08/2014"
