"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"04/13/2020","45","Ozone","RIVERHEAD","36-103-0004","AQS","97","40","59.8","04/13/2018","04/13/2008"
"04/14/2020","43","Ozone","Chester","34-027-3001","AQS","97","41","61","04/14/2018","04/14/2008"
"04/15/2020","43","Ozone","Leonia","34-003-0006","AQS","143","41","47","04/15/2003","04/15/2011"
"04/16/2020","40","Ozone","Monmouth University","34-025-0005","AQS","154","42","51.8","04/16/2003","04/16/2007"
"04/17/2020","44","Ozone","Monmouth University","34-025-0005","AQS","129","34","47.4","04/17/2002","04/17/2018"
"04/18/2020","44","Ozone","RIVERHEAD","36-103-0004","AQS","151","36","63.4","04/18/2008","04/18/2010"
"04/19/2020","50","Ozone","MILLBROOK","36-027-0007","AQS","172","37","48","04/19/2008","04/19/2013"
"04/20/2020","43","Ozone","Chester","34-027-3001","AQS","154","43","49.6","04/20/2005","04/20/2013"
"04/21/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","87","44","53.4","04/21/2001","04/21/2000"
"04/22/2020","40","Ozone","Colliers Mills","34-029-0006","AQS","100","38","57.6","04/22/2016","04/22/2012"
"04/23/2020","40","PM2.5","IS 52","36-005-0110","AQS","129","34","49.8","04/23/2007","04/23/2000"
"04/24/2020","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","90","44","50.2","04/24/2008","04/24/2019"
"04/25/2020","50","PM2.5","Newark Firehouse","34-013-0003","AQS","97","39","49","04/25/2009","04/25/2017"
"04/26/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","150","40","51.2","04/26/2009","04/26/2017"
"04/27/2020","38","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","143","37","46.8","04/27/2009","04/27/2012"
"04/28/2020","44","Ozone","Flemington","34-019-0001","AQS","115","36","58.4","04/28/2009","04/28/2019"
"04/29/2020","47","PM2.5","Elizabeth Lab","34-039-0004","AQS","136","40","47.8","04/29/2011","04/29/2014"
"04/30/2020","47","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","101","41","47.8","04/30/2010","04/30/2018"
"05/01/2020","54","Ozone","RIVERHEAD","36-103-0004","AQS","164","40","59.2","05/01/2010","05/01/2015"
"05/02/2020","40","Ozone","Ramapo","34-031-5001","AQS","174","37","67","05/02/2001","05/02/2004"
"05/03/2020","50","Ozone","Ramapo","34-031-5001","AQS","204","37","60.6","05/03/2001","05/03/2004"
"05/04/2020","44","Ozone","Colliers Mills","34-029-0006","AQS","203","32","68.4","05/04/2001","05/04/2011"
"05/05/2020","46","Ozone","Chester","34-027-3001","AQS","122","32","64.4","05/05/2015","05/05/2016"
"05/06/2020","39","Ozone","Colliers Mills","34-029-0006","AQS","174","29","48.8","05/06/2000","05/06/2016"
"05/07/2020","45","Ozone","Chester","34-027-3001","AQS","151","36","53.8","05/07/2000","05/07/2017"
"05/08/2020","40","Ozone","RIVERHEAD","36-103-0004","AQS","192","38","66.2","05/08/2000","05/08/2017"
"05/09/2020","31","Ozone","Chester","34-027-3001","AQS","192","38","62.6","05/09/2000","05/09/2002"
"05/10/2020","46","Ozone","Chester","34-027-3001","AQS","147","41","51.4","05/10/2001","05/10/2012"
"05/11/2020","39","Ozone","MT NINHAM","36-079-0005","AQS","179","44","58","05/11/2001","05/11/2010"
"05/12/2020","44","Ozone","BABYLON","36-103-0002","AQS","154","39","61.4","05/12/2004","05/12/2017"
"05/13/2020","47","Ozone","Colliers Mills","34-029-0006","AQS","166","31","49.8","05/13/2004","05/13/2003"
"05/14/2020","51","Ozone","Chester","34-027-3001","AQS","101","32","53.4","05/14/2005","05/14/2003"
"05/15/2020","64","Ozone","Rutgers University","34-023-0011","AQS","161","35","54.8","05/15/2007","05/15/2016"
"05/16/2020","45","Ozone","FRESHKILLS WEST","36-085-0111","AQS","119","40","55.4","05/16/2002","05/16/2003"
"05/17/2020","45","Ozone","MILLBROOK","36-027-0007","AQS","136","44","82.8","05/17/2017","05/17/2011"
"05/18/2020","46","Ozone","Ramapo","34-031-5001","AQS","140","38","70.8","05/18/2017","05/18/2002"
"05/19/2020","44","Ozone","MILLBROOK","36-027-0007","AQS","101","33","61.4","05/19/2017","05/19/2018"
"05/20/2020","44","Ozone","MILLBROOK","36-027-0007","AQS","100","38","51","05/20/2009","05/20/2017"
"05/21/2020","49","Ozone","MILLBROOK","36-027-0007","AQS","112","37","45.6","05/21/2010","05/21/2019"
"05/22/2020","46","PM2.5","Newark Firehouse","34-013-0003","AQS","129","31","50.8","05/22/2009","05/22/2003"
"05/23/2020","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","136","39","53.4","05/23/2004","05/23/2003"
"05/24/2020","42","Ozone","MILLBROOK","36-027-0007","AQS","166","31","69.4","05/24/2002","05/24/2013"
"05/25/2020","43","PM2.5","Newark Firehouse","34-013-0003","AQS","161","31","88.4","05/25/2016","05/25/2013"
"05/26/2020","50","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","164","34","92.6","05/26/2007","05/26/2005"
"05/27/2020","42","Ozone","MILLBROOK","36-027-0007","AQS","151","40","62.8","05/27/2007","05/27/2017"
"05/28/2020","35","PM2.5","Newark Firehouse","34-013-0003","AQS","129","44","65.6","05/28/2012","05/28/2017"
"05/29/2020","38","PM2.5","Newark Firehouse","34-013-0003","AQS","182","33","74.6","05/29/2006","05/29/2017"
"05/30/2020","44","Ozone","Monmouth University","34-025-0005","AQS","187","31","48","05/30/2006","05/30/2017"
"05/31/2020","34","Ozone","Chester","34-027-3001","AQS","169","41","68.8","05/31/2007","05/31/2014"
"06/01/2020","41","Ozone","Monmouth University","34-025-0005","AQS","195","32","71","06/01/2006","06/01/2015"
"06/02/2020","48","Ozone","Monmouth University","34-025-0005","AQS","209","24","64.2","06/02/2000","06/02/2015"
"06/03/2020","57","PM2.5","Newark Firehouse","34-013-0003","AQS","133","37","44.8","06/03/2010","06/03/2015"
"06/04/2020","97","Ozone","Rutgers University","34-023-0011","AQS","147","32","48.4","06/04/2010","06/04/2012"
"06/05/2020","48","PM2.5","IS 52","36-005-0110","AQS","166","31","58.4","06/05/2002","06/05/2012"
"06/06/2020","64","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","129","35","55.4","06/06/2005","06/06/2000"
"06/07/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","172","34","65.2","06/07/2011","06/07/2013"
"06/08/2020","41","Ozone","BABYLON","36-103-0002","AQS","201","30","58","06/08/2004","06/08/2016"
"06/09/2020","112","Ozone","Rutgers University","34-023-0011","AQS","220","43","69.4","06/09/2000","06/09/2016"
"06/10/2020","100","Ozone","Ramapo","34-031-5001","AQS","227","40","67.8","06/10/2000","06/10/2019"
"06/11/2020","49","PM2.5","IS 52","36-005-0110","AQS","212","39","91.6","06/11/2000","06/11/2019"
"06/12/2020","80","Ozone","BABYLON","36-103-0002","AQS","166","39","91.2","06/12/2002","06/12/2012"
"06/13/2020","51","Ozone","Monmouth University","34-025-0005","AQS","202","36","76.2","06/13/2001","06/13/2012"
"06/14/2020","44","Ozone","Rutgers University","34-023-0011","AQS","190","37","64.8","06/14/2008","06/14/2002"
"06/15/2020","44","Ozone","Flemington","34-019-0001","AQS","126","34","62.6","06/15/2005","06/15/2014"
"06/16/2020","45","Ozone","Flemington","34-019-0001","AQS","164","44","71.4","06/16/2004","06/16/2003"
"06/17/2020","49","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","166","44","66.4","06/17/2006","06/17/2015"
"06/18/2020","31","PM2.5","Fort Lee Near Road","34-003-0010","AQS","208","35","79","06/18/2006","06/18/2005"
"06/19/2020","47","Ozone","WHITE PLAINS","36-119-2004","AQS","216","42","63.4","06/19/2001","06/19/2005"
"06/20/2020","74","Ozone","WHITE PLAINS","36-119-2004","AQS","205","45","81.8","06/20/2001","06/20/2004"
"06/21/2020","58","Ozone","WHITE PLAINS","36-119-2004","AQS","177","39","77.6","06/21/2005","06/21/2019"
"06/22/2020","90","Ozone","WHITE PLAINS","36-119-2004","AQS","202","36","73.2","06/22/2002","06/22/2003"
"06/23/2020","93","Ozone","Rockland County","36-087-0005","AQS","179","40","63.8","06/23/2002","06/23/2019"
"06/24/2020","64","Ozone","BABYLON","36-103-0002","AQS","206","44","73.4","06/24/2003","06/24/2017"
"06/25/2020","87","Ozone","WHITE PLAINS","36-119-2004","AQS","226","38","60","06/25/2003","06/25/2018"
"06/26/2020","108","Ozone","BABYLON","36-103-0002","AQS","223","38","91.2","06/26/2003","06/26/2012"
"06/27/2020","70","PM2.5","NEWBURGH","36-071-0002","AQS","207","38","68","06/27/2003","06/27/2018"
"06/28/2020","67","Ozone","PFIZER LAB SITE","36-005-0133","AQS","179","40","69.8","06/28/2001","06/28/2015"
"06/29/2020","67","Ozone","Monmouth University","34-025-0005","AQS","174","44","86.6","06/29/2012","06/29/2015"
"06/30/2020","46","Ozone","Monmouth University","34-025-0005","AQS","209","46","81.6","06/30/2001","06/30/2015"
"07/01/2020","71","Ozone","BABYLON","36-103-0002","AQS","185","38","85.8","07/01/2002","07/01/2010"
"07/02/2020","80","Ozone","BABYLON","36-103-0002","AQS","221","39","109.4","07/02/2002","07/02/2001"
"07/03/2020","93","Ozone","Monmouth University","34-025-0005","AQS","185","44","89","07/03/2002","07/03/2016"
"07/04/2020","75","PM2.5","MORRISANIA","36-005-0080","AQS","182","41","87.2","07/04/2003","07/04/2009"
"07/05/2020","80","PM2.5","NEWBURGH","36-071-0002","AQS","172","46","74","07/05/2010","07/05/2016"
"07/06/2020","108","Ozone","Leonia","34-003-0006","AQS","208","38","68.6","07/06/2010","07/06/2018"
"07/07/2020","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","185","42","60.4","07/07/2011","07/07/2000"
"07/08/2020","76","PM2.5","Chester","34-027-3001","AQS","223","35","71.2","07/08/2002","07/08/2005"
"07/09/2020","87","Ozone","Rockland County","36-087-0005","AQS","236","29","73","07/09/2002","07/09/2016"
"07/10/2020","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","190","40","89.2","07/10/2007","07/10/2016"
"07/11/2020","45","Ozone","Flemington","34-019-0001","AQS","185","42","81","07/11/2006","07/11/2016"
"07/12/2020","49","Ozone","BABYLON","36-103-0002","AQS","156","46","86.8","07/12/2006","07/12/2009"
"07/13/2020","87","Ozone","BABYLON","36-103-0002","AQS","166","42","102.6","07/13/2002","07/13/2004"
"07/14/2020","44","Ozone","Monmouth University","34-025-0005","AQS","140","38","65","07/14/2007","07/14/2017"
"07/15/2020","49","Ozone","Chester","34-027-3001","AQS","174","51","80.2","07/15/2008","07/15/2004"
"07/16/2020","35","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","156","51","100.4","07/16/2011","07/16/2004"
"07/17/2020","47","PM2.5","Newark Firehouse","34-013-0003","AQS","212","49","88","07/17/2002","07/17/2014"
"07/18/2020","97","Ozone","BABYLON","36-103-0002","AQS","226","48","65","07/18/2006","07/18/2018"
"07/19/2020","100","Ozone","PFIZER LAB SITE","36-005-0133","AQS","204","45","92.8","07/19/2002","07/19/2000"
"07/20/2020","133","Ozone","BABYLON","36-103-0002","AQS","185","47","97.8","07/20/2011","07/20/2016"
"07/21/2020","80","Ozone","CCNY","36-061-0135","AQS","197","36","85","07/21/2005","07/21/2007"
"07/22/2020","112","Ozone","Leonia","34-003-0006","AQS","209","38","86.8","07/22/2011","07/22/2018"
"07/23/2020","61","Ozone","WHITE PLAINS","36-119-2004","AQS","177","31","55.4","07/23/2002","07/23/2019"
"07/24/2020","40","PM2.5","Fort Lee Near Road","34-003-0010","AQS","156","38","58.4","07/24/2001","07/24/2017"
"07/25/2020","90","Ozone","CCNY","36-061-0135","AQS","177","27","72.6","07/25/2001","07/25/2013"
