"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"06/27/2012","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","23","10"
"06/28/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","38","10"
"06/29/2012","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","56","22"
"06/30/2012","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","46","15"
"07/01/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","52","9"
"07/02/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","38","6"
"07/03/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40","7"
"07/04/2012","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","57","10"
"07/05/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","38","6"
"07/06/2012","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","50","8"
"07/07/2012","64","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","64","11"
"07/08/2012","45","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","45","6"
"07/09/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","33","10"
"07/10/2012","38","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","38","12"
"07/11/2012","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","47","11"
"07/12/2012","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","60","14"
"07/13/2012","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","69","21"
"07/14/2012","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","73","15"
"07/15/2012","69","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","69","6"
"07/16/2012","60","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","60","9"
"07/17/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","52","14"
"07/18/2012","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","8"
"07/19/2012","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","8"
"07/20/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","26","12"
"07/21/2012","10","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","10"
"07/22/2012","11","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","11"
"07/23/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","55","12"
"07/24/2012","15","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","8",".","15"
"07/25/2012","7","CO","State of Vermont District Court Parking Lot","50-021-0002","AQS","7",".","6"
"07/26/2012","29","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","29","9"
"07/27/2012","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","35","9"
"07/28/2012","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","35","8"
"07/29/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","55","5"
"07/30/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","33","8"
"07/31/2012","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","31","11"
"08/01/2012","51","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","51","15"
"08/02/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40","17"
"08/03/2012","57","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","57","16"
"08/04/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","52","12"
"08/05/2012","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","40","10"
"08/06/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","19","6"
"08/07/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","26","9"
"08/08/2012","34","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","34","12"
"08/09/2012","55","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","55","16"
"08/10/2012","44","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","44","9"
"08/11/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","18","14"
"08/12/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","30","7"
"08/13/2012","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","25","9"
"08/14/2012","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","30","8"
"08/15/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","33","12"
"08/16/2012","39","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","39","7"
"08/17/2012","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","46","8"
"08/18/2012","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","7","31","8"
"08/19/2012","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","18","8"
"08/20/2012","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","26","9"
