"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25","NO2"
"10/06/2015","9","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","9"
"10/07/2015","11","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","11"
"10/08/2015","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","8"
"10/09/2015","28","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","28","17"
"10/10/2015","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","8"
"10/11/2015","12","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","12"
"10/12/2015","18","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","18"
"10/13/2015","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5",".","32","16"
"10/14/2015","9","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","9","5"
"10/15/2015","23","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","23","15"
"10/16/2015","18","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","18","16"
"10/17/2015","12","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","12","8"
"10/18/2015","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","31","12"
"10/19/2015","27","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".","27","17"
"10/20/2015","36","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","36","20"
"10/21/2015","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","31","14"
"10/22/2015","47","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6",".","47","20"
"10/23/2015","26","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".","26","14"
