"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/12/2012","54","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","9","27",".","54","35"
"10/13/2012","37","NO2","Bayonne","34-017-0006","AQS","10","32",".","20","37"
"10/14/2012","44","Ozone","Flemington","34-019-0001","AQS","10","44",".","31","34"
"10/15/2012","38","PM2.5","DIVISION STREET","36-061-0134","AQS","14","34",".","38","37"
"10/16/2012","36","NO2","Elizabeth Lab","34-039-0004","AQS","10","31",".","21","36"
"10/17/2012","51","PM2.5","IS 74","36-005-0112","AQS","15","29",".","51","50"
"10/18/2012","64","NO2","Elizabeth Lab","34-039-0004","AQS","18","39","16","55","64"
"10/19/2012","38","NO2","Newark Firehouse","34-013-0003","AQS","15","37",".","36","38"
"10/20/2012","41","PM2.5","PS 19","36-061-0128","AQS","13","36",".","41","29"
"10/21/2012","37","PM2.5","Newark Firehouse","34-013-0003","AQS","8","34",".","37","35"
"10/22/2012","43","PM2.5","PS 19","36-061-0128","AQS","10","38",".","43","40"
"10/23/2012","69","PM2.5","PS 314","36-047-0052","AQS","15","36",".","69","60"
"10/24/2012","70","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","31","36","70","34"
"10/25/2012","43","PM2.5","Flemington","34-019-0001","AQS","13","31",".","43","32"
"10/26/2012","41","NO2","IS 52","36-005-0110","AQS","15","40",".","39","41"
"10/27/2012","59","PM2.5","NEWBURGH","36-071-0002","AQS","14","40",".","59","33"
"10/28/2012","34","Ozone","QUEENS COLLEGE 2","36-081-0124","AQS","7","34",".","25","17"
"10/29/2012","41","PM2.5","IS 74","36-005-0112","AQS","5","32",".","41","6"
"10/30/2012","30","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","29",".","30","20"
"10/31/2012","25","PM2.5","Toms River","34-029-2002","AQS","9","18",".","25","25"
"11/01/2012","46","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","17",".","46","21"
"11/02/2012","31","Ozone","RIVERHEAD","36-103-0004","AQS","7","31",".","20","24"
"11/03/2012","28","Ozone","Flemington","34-019-0001","AQS","6","28",".","19","21"
"11/04/2012","28","Ozone","MILLBROOK","36-027-0007","AQS","6","28",".","27","22"
"11/05/2012","33","PM2.5","PS 19","36-061-0128","AQS","7","31",".","33","25"
"11/06/2012","44","PM2.5","Newark Firehouse","34-013-0003","AQS","8","30",".","44","39"
"11/07/2012","45","PM2.5","PS 19","36-061-0128","AQS","7","31",".","45","30"
